Vernier Format 2
Bandlücke-Si_Fehler.cmbl 07.09.2016 12:08:56 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

37	-39,415316718	0,627595	3,61905	-1048,7554776	-1,1814002658
37,5	-39,415316718	0,612943	3,62882	-1048,7554776	-1,1814002658
38	-39,350113696	0,642247	3,61172	-1047,30261014	-1,18303915985
38,5	-39,415316718	0,647131	3,62271	-1048,7554776	-1,1814002658
39	-39,415316718	0,623932	3,64591	-1048,7554776	-1,1814002658
39,5	-39,415316718	0,67033	3,61294	-1048,7554776	-1,1814002658
40	-39,350113696	0,655678	3,59707	-1047,30261014	-1,18303915985
40,5	-39,415316718	0,643468	3,60317	-1048,7554776	-1,1814002658
41	-39,415316718	0,644689	3,61294	-1048,7554776	-1,1814002658
41,5	-39,415316718	0,59707	3,61538	-1048,7554776	-1,1814002658
42	-39,415316718	0,648352	3,63126	-1048,7554776	-1,1814002658
42,5	-39,415316718	0,650794	3,60928	-1048,7554776	-1,1814002658
43	-39,350113696	0,642247	3,62271	-1047,30261014	-1,18303915985
43,5	-39,415316718	0,642247	3,63858	-1048,7554776	-1,1814002658
44	-39,350113696	0,68254	3,63248	-1047,30261014	-1,18303915985
44,5	-39,415316718	0,683761	3,64103	-1048,7554776	-1,1814002658
45	-39,415316718	0,641026	3,65446	-1048,7554776	-1,1814002658
45,5	-39,415316718	0,632479	3,60073	-1048,7554776	-1,1814002658
46	-39,350113696	0,617827	3,58852	-1047,30261014	-1,18303915985
46,5	-39,415316718	0,650794	3,63492	-1048,7554776	-1,1814002658
47	-39,350113696	0,64591	3,64347	-1047,30261014	-1,18303915985
47,5	-39,415316718	0,64591	3,6044	-1048,7554776	-1,1814002658
48	-39,350113696	0,650794	3,60195	-1047,30261014	-1,18303915985
48,5	-39,415316718	0,606838	3,62393	-1048,7554776	-1,1814002658
49	-39,415316718	0,615385	3,62149	-1048,7554776	-1,1814002658
49,5	-39,415316718	0,638584	3,59951	-1048,7554776	-1,1814002658
50	-39,350113696	0,654457	3,63004	-1047,30261014	-1,18303915985
50,5	-39,415316718	0,626374	3,59829	-1048,7554776	-1,1814002658
51	-39,415316718	0,6337	3,62759	-1048,7554776	-1,1814002658
51,5	-39,415316718	0,619048	3,62759	-1048,7554776	-1,1814002658
52	-39,350113696	0,666667	3,61416	-1047,30261014	-1,18303915985
52,5	-39,415316718	0,648352	3,58852	-1048,7554776	-1,1814002658
53	-39,350113696	0,648352	3,60806	-1047,30261014	-1,18303915985
53,5	-39,415316718	0,655678	3,61538	-1048,7554776	-1,1814002658
54	-39,415316718	0,636142	3,61294	-1048,7554776	-1,1814002658
54,5	-39,415316718	0,649573	3,59829	-1048,7554776	-1,1814002658
55	-39,415316718	0,660562	3,60562	-1048,7554776	-1,1814002658
55,5	-39,415316718	0,671551	3,64103	-1048,7554776	-1,1814002658
56	-39,350113696	0,661783	3,64713	-1047,30261014	-1,18303915985
56,5	-39,415316718	0,644689	3,63126	-1048,7554776	-1,1814002658
57	-39,350113696	0,656899	3,62393	-1047,30261014	-1,18303915985
57,5	-39,415316718	0,620269	3,5873	-1048,7554776	-1,1814002658
58	-39,350113696	0,641026	3,6105	-1047,30261014	-1,18303915985
