Vernier Format 2
Bandlücke-Ge.cmbl 07.09.2016 14:10:29 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

35,5	-45,744729992	0,184371	0,0659341	-2367,5075569	-0,523335182771
36	-45,157368343	0,197802	0,0842491	-2343,73618394	-0,528643116272
36,5	-44,961759277	0,15873	0,0622711	-2335,76480703	-0,530447242064
37	-44,374397628	0,142857	0,0537241	-2311,66566292	-0,53597716135
37,5	-44,178788562	0,206349	0,0781441	-2303,58587478	-0,537857092095
38	-43,591426913	0,153846	0,0598291	-2279,1634598	-0,543620508953
38,5	-43,330080374	0,19536	0,0647131	-2268,21955719	-0,546243416371
39	-42,742718725	0,189255	0,0708181	-2243,4518828	-0,552273935312
39,5	-42,547109659	0,155067	0,0512821	-2235,15104178	-0,554324954708
40	-41,95974801	0,191697	0,0683761	-2210,06966795	-0,560615811334
40,5	-41,698935922	0,224664	0,0671551	-2198,85791349	-0,563474334744
41	-41,176777295	0,23199	0,0647131	-2176,2747431	-0,56932149947
41,5	-40,915965207	0,284493	0,0720391	-2164,92691	-0,572305695068
42	-40,328603558	0,250305	0,0573871	-2139,20712288	-0,579186553161
42,5	-40,132460041	0,239316	0,0537241	-2130,56805285	-0,581535050402
43	-39,545098392	0,260073	0,0561661	-2104,54898928	-0,588724713139
43,5	-39,284286304	0,279609	0,0781441	-2092,92441248	-0,591994623701
44	-38,762127677	0,252747	0,04884	-2069,52135638	-0,598689158815
44,5	-38,501315589	0,239316	0,0683761	-2057,76731609	-0,60210889264
45	-37,979156962	0,253968	0,0622711	-2034,10725958	-0,60911242225
45,5	-37,718344874	0,340659	0,0830281	-2022,22595076	-0,612691178024
46	-37,130983225	0,286935	0,0781441	-1995,31559468	-0,62095440105
46,5	-36,934839708	0,274725	0,0659341	-1986,28230797	-0,623778399992
47	-36,34801251	0,264957	0,0989011	-1959,1177085	-0,632427543596
47,5	-36,086665971	0,261294	0,0891331	-1946,95349989	-0,636378834971
48	-35,564507344	0,288156	0,124542	-1922,5288937	-0,644463656208
48,5	-35,303695256	0,222222	0,112332	-1910,26916774	-0,64859969523
49	-34,781536629	0,273504	0,163614	-1885,60589866	-0,657083222364
49,5	-34,520724541	0,190476	0,200244	-1873,22811056	-0,661425051768
50	-33,933362892	0,19536	0,247863	-1845,21097998	-0,671467931551
50,5	-33,672016353	0,155067	0,2442	-1832,68224668	-0,676058275921
51	-33,150392177	0,17094	0,29304	-1807,56227935	-0,685453560386
51,5	-32,889045638	0,126984	0,315018	-1794,92009244	-0,69028142546
