Vernier Format 2
Bandlücke-Si_Fehler.cmbl 07.09.2016 12:05:12 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

42,5	-43,395907766	1,21978	0,959707	-1134,8091114	-1,09181358129
43	-43,330704744	1,20757	0,96337	-1133,44254187	-1,0931299596
43,5	-43,395907766	1,24298	0,979243	-1134,8091114	-1,09181358129
44	-43,395907766	1,23321	0,958486	-1134,8091114	-1,09181358129
44,5	-43,395907766	1,21734	0,953602	-1134,8091114	-1,09181358129
45	-43,330704744	1,2149	0,947497	-1133,44254187	-1,0931299596
45,5	-43,395907766	1,17827	0,97558	-1134,8091114	-1,09181358129
46	-43,395907766	1,20024	0,941392	-1134,8091114	-1,09181358129
46,5	-43,395907766	1,20024	0,958486	-1134,8091114	-1,09181358129
47	-43,395907766	1,221	0,960928	-1134,8091114	-1,09181358129
47,5	-43,395907766	1,19414	0,959707	-1134,8091114	-1,09181358129
48	-43,395907766	1,21368	0,947497	-1134,8091114	-1,09181358129
48,5	-43,395907766	1,21612	0,952381	-1134,8091114	-1,09181358129
49	-43,330704744	1,25885	0,965812	-1133,44254187	-1,0931299596
49,5	-43,395907766	1,18803	0,958486	-1134,8091114	-1,09181358129
50	-43,395907766	1,20391	0,985348	-1134,8091114	-1,09181358129
50,5	-43,330704744	1,24054	0,970696	-1133,44254187	-1,0931299596
51	-43,330704744	1,23321	0,971917	-1133,44254187	-1,0931299596
51,5	-43,395907766	1,1746	0,958486	-1134,8091114	-1,09181358129
52	-43,395907766	1,15873	0,957265	-1134,8091114	-1,09181358129
52,5	-43,395907766	1,23321	0,948718	-1134,8091114	-1,09181358129
53	-43,330704744	1,24664	0,978022	-1133,44254187	-1,0931299596
53,5	-43,395907766	1,25031	0,965812	-1134,8091114	-1,09181358129
54	-43,395907766	1,20757	0,973138	-1134,8091114	-1,09181358129
54,5	-43,395907766	1,23443	0,958486	-1134,8091114	-1,09181358129
55	-43,395907766	1,22466	0,96337	-1134,8091114	-1,09181358129
55,5	-43,395907766	1,25153	0,985348	-1134,8091114	-1,09181358129
56	-43,395907766	1,21368	0,96337	-1134,8091114	-1,09181358129
56,5	-43,395907766	1,18193	0,956044	-1134,8091114	-1,09181358129
57	-43,395907766	1,1685	0,957265	-1134,8091114	-1,09181358129
57,5	-43,330704744	1,23199	0,968254	-1133,44254187	-1,0931299596
58	-43,395907766	1,17949	0,953602	-1134,8091114	-1,09181358129
58,5	-43,395907766	1,21856	0,958486	-1134,8091114	-1,09181358129
59	-43,395907766	1,20513	0,970696	-1134,8091114	-1,09181358129
59,5	-43,395907766	1,18193	0,952381	-1134,8091114	-1,09181358129
60	-43,330704744	1,19902	0,968254	-1133,44254187	-1,0931299596
60,5	-43,395907766	1,18681	0,960928	-1134,8091114	-1,09181358129
61	-43,330704744	1,20269	0,949939	-1133,44254187	-1,0931299596
61,5	-43,395907766	1,26252	0,970696	-1134,8091114	-1,09181358129
62	-43,330704744	1,2149	0,96337	-1133,44254187	-1,0931299596
62,5	-43,395907766	1,1978	0,96337	-1134,8091114	-1,09181358129
63	-43,395907766	1,18681	0,965812	-1134,8091114	-1,09181358129
63,5	-43,395907766	1,19536	0,953602	-1134,8091114	-1,09181358129
64	-43,330704744	1,23077	0,978022	-1133,44254187	-1,0931299596
64,5	-43,395907766	1,20269	0,953602	-1134,8091114	-1,09181358129
65	-43,330704744	1,22711	0,959707	-1133,44254187	-1,0931299596
65,5	-43,395907766	1,2381	0,968254	-1134,8091114	-1,09181358129
66	-43,330704744	1,21612	0,964591	-1133,44254187	-1,0931299596
66,5	-43,395907766	1,18437	0,957265	-1134,8091114	-1,09181358129
67	-43,330704744	1,221	0,978022	-1133,44254187	-1,0931299596
67,5	-43,395907766	1,24786	0,969475	-1134,8091114	-1,09181358129
68	-43,395907766	1,25763	0,95116	-1134,8091114	-1,09181358129
68,5	-43,395907766	1,21856	0,952381	-1134,8091114	-1,09181358129
69	-43,330704744	1,16728	0,948718	-1133,44254187	-1,0931299596
69,5	-43,395907766	1,20513	0,962149	-1134,8091114	-1,09181358129
70	-43,395907766	1,20635	0,956044	-1134,8091114	-1,09181358129
70,5	-43,395907766	1,2149	0,949939	-1134,8091114	-1,09181358129
71	-43,330704744	1,22466	0,949939	-1133,44254187	-1,0931299596
71,5	-43,395907766	1,21856	0,965812	-1134,8091114	-1,09181358129
72	-43,395907766	1,21368	0,965812	-1134,8091114	-1,09181358129
72,5	-43,395907766	1,21123	0,962149	-1134,8091114	-1,09181358129
73	-43,330704744	1,22222	0,980464	-1133,44254187	-1,0931299596
73,5	-43,395907766	1,24908	0,970696	-1134,8091114	-1,09181358129
74	-43,395907766	1,23687	0,958486	-1134,8091114	-1,09181358129
74,5	-43,395907766	1,20269	0,967033	-1134,8091114	-1,09181358129
75	-43,330704744	1,19048	0,953602	-1133,44254187	-1,0931299596
75,5	-43,395907766	1,22833	0,958486	-1134,8091114	-1,09181358129
76	-43,330704744	1,21368	0,967033	-1133,44254187	-1,0931299596
76,5	-43,395907766	1,24176	0,978022	-1134,8091114	-1,09181358129
77	-43,330704744	1,16606	0,95116	-1133,44254187	-1,0931299596
77,5	-43,395907766	1,20879	0,968254	-1134,8091114	-1,09181358129
78	-43,330704744	1,2735	0,970696	-1133,44254187	-1,0931299596
78,5	-43,395907766	1,2381	0,959707	-1134,8091114	-1,09181358129
79	-43,330704744	1,26984	0,969475	-1133,44254187	-1,0931299596
79,5	-43,395907766	1,21612	0,964591	-1134,8091114	-1,09181358129
80	-43,330704744	1,26007	0,974359	-1133,44254187	-1,0931299596
80,5	-43,330704744	1,23565	0,973138	-1133,44254187	-1,0931299596
81	-43,330704744	1,23443	0,967033	-1133,44254187	-1,0931299596
81,5	-43,395907766	1,21734	0,971917	-1134,8091114	-1,09181358129
82	-43,330704744	1,18437	0,971917	-1133,44254187	-1,0931299596
82,5	-43,395907766	1,20513	0,946276	-1134,8091114	-1,09181358129
83	-43,330704744	1,21245	0,967033	-1133,44254187	-1,0931299596
83,5	-43,395907766	1,20024	0,947497	-1134,8091114	-1,09181358129
84	-43,330704744	1,24542	0,967033	-1133,44254187	-1,0931299596
84,5	-43,395907766	1,21245	0,959707	-1134,8091114	-1,09181358129
85	-43,330704744	1,23199	0,974359	-1133,44254187	-1,0931299596
85,5	-43,395907766	1,20269	0,947497	-1134,8091114	-1,09181358129
86	-43,330704744	1,2442	0,962149	-1133,44254187	-1,0931299596
86,5	-43,395907766	1,24298	0,979243	-1134,8091114	-1,09181358129
87	-43,330704744	1,22466	0,965812	-1133,44254187	-1,0931299596
87,5	-43,395907766	1,24908	0,962149	-1134,8091114	-1,09181358129
88	-43,395907766	1,19902	0,98779	-1134,8091114	-1,09181358129
88,5	-43,395907766	1,18315	0,954823	-1134,8091114	-1,09181358129
89	-43,330704744	1,20513	0,960928	-1133,44254187	-1,0931299596
89,5	-43,395907766	1,20879	0,958486	-1134,8091114	-1,09181358129
90	-43,330704744	1,27106	0,971917	-1133,44254187	-1,0931299596
90,5	-43,395907766	1,24176	0,976801	-1134,8091114	-1,09181358129
91	-43,330704744	1,21612	0,971917	-1133,44254187	-1,0931299596
91,5	-43,395907766	1,25275	0,96337	-1134,8091114	-1,09181358129
92	-43,330704744	1,23199	0,964591	-1133,44254187	-1,0931299596
92,5	-43,395907766	1,22466	0,965812	-1134,8091114	-1,09181358129
93	-43,395907766	1,24298	0,969475	-1134,8091114	-1,09181358129
93,5	-43,395907766	1,19658	0,948718	-1134,8091114	-1,09181358129
94	-43,395907766	1,23077	0,964591	-1134,8091114	-1,09181358129
94,5	-43,395907766	1,24054	0,98779	-1134,8091114	-1,09181358129
95	-43,330704744	1,2149	0,962149	-1133,44254187	-1,0931299596
95,5	-43,395907766	1,21368	0,976801	-1134,8091114	-1,09181358129
96	-43,395907766	1,26862	0,97558	-1134,8091114	-1,09181358129
96,5	-43,395907766	1,23321	0,992674	-1134,8091114	-1,09181358129
97	-43,330704744	1,21612	0,978022	-1133,44254187	-1,0931299596
97,5	-43,395907766	1,26007	0,964591	-1134,8091114	-1,09181358129
98	-43,330704744	1,25153	0,984127	-1133,44254187	-1,0931299596
98,5	-43,395907766	1,20147	0,970696	-1134,8091114	-1,09181358129
99	-43,330704744	1,18559	0,957265	-1133,44254187	-1,0931299596
99,5	-43,395907766	1,20879	0,947497	-1134,8091114	-1,09181358129
