Vernier Format 2
Bandlücke-Si_Lampenleistung.cmbl 07.09.2016 14:40:14 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

39	37,6311937309	0,255189	0,013431	1008,51785875	1,22853550807
39,5	37,3701678625	0,299145	0,00732601	1002,54796228	1,23585109801
40	36,8481161257	0,324786	0,018315	990,545870275	1,25082546622
40,5	36,5218337902	0,340659	0,02442	983,002739591	1,26042375072
41	35,9997820534	0,321123	0,017094	970,867525743	1,27617822942
41,5	35,4777303166	0,351648	0,028083	958,651711197	1,29244019025
42	35,2819609153	0,29304	0,02442	954,050207653	1,29867379102
42,5	34,6946527114	0,315018	0,015873	940,17908333	1,31783404031
43	34,433626843	0,301587	0,026862	933,982343215	1,32657754079
43,5	33,9115751062	0,350427	0,00732601	921,530837811	1,34450194086
44	33,6505492378	0,376068	0,017094	915,276330952	1,353689545
44,5	33,128497501	0,371184	0,026862	902,710457976	1,37253311851
45	32,6064457642	0,357753	0,026862	890,069642653	1,39202590519
45,5	32,2801634287	0,373626	0,029304	882,131542458	1,40455242825
46	31,7581116919	0,358974	0,015873	869,371186789	1,42516800514
46,5	31,4970858235	0,380952	0,013431	862,963877055	1,43574955215
47	30,9750340867	0,411477	0,01221	850,0956587	1,4574830342
47,5	30,4529823499	0,416361	0,015873	837,156866039	1,48000936296
48	30,1919564815	0,42735	0,032967	830,661339795	1,49158259888
48,5	29,6046482776	0,396825	0,026862	815,98357682	1,5184129132
49	29,4088788763	0,43956	0,020757	811,071860243	1,5276081698
49,5	28,8215706724	0,401709	0,00732601	796,280126543	1,55598508452
50	28,560544804	0,479853	0,013431	789,679074221	1,56899181002
50,5	28,0384930672	0,459096	0,018315	776,427937743	1,59576947167
51	27,4511848633	0,459096	0,029304	761,443416193	1,62717277955
51,5	27,1901589949	0,474969	0,015873	754,757854113	1,64158609711
52	26,6681072581	0,462759	0,017094	741,339874219	1,67129820355
