Vernier Format 2
Bandlücke-Si.cmbl 07.09.2016 11:35:41 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

37	-42,87365922	1,06593	1,1746	-1123,82236285	-1,10248740455
37,5	-42,612847132	1,06716	1,33944	-1118,30054113	-1,1079311459
38	-42,090688505	1,05617	1,5177	-1107,17606235	-1,11906321148
38,5	-41,895079439	1,03053	1,71306	-1102,98492669	-1,12331544159
39	-41,568529878	0,960928	1,9304	-1095,95962899	-1,13051609496
39,5	-41,046371251	0,916972	2,14896	-1084,65217262	-1,14230168093
40	-40,785559163	0,866911	2,38706	-1078,97043692	-1,14831691176
40,5	-40,524747075	0,857143	2,65079	-1073,26634394	-1,15441987629
41	-39,937385426	0,758242	2,95971	-1060,33919039	-1,16849401704
41,5	-39,741241909	0,653236	3,25641	-1055,99741107	-1,17329833105
42	-39,15388026	0,539683	3,55678	-1042,92191956	-1,18800839906
42,5	-38,958271194	0,417582	3,79487	-1038,54299208	-1,19301753461
43	-38,632256084	0,267399	3,93162	-1031,21790537	-1,20149193836
43,5	-38,175300479	0,214896	4,01221	-1020,89463483	-1,21364140601
44	-37,848750918	0,153846	4,02442	-1013,4775993	-1,22252332055
44,5	-37,653141852	0,0757021	3,97314	-1009,01887974	-1,2279254877
45	-37,065780203	0,0500611	3,84371	-995,560071508	-1,24452560469
45,5	-36,870171137	0,0952381	3,72039	-991,054590874	-1,25018340201
46	-36,478418554	0,0500611	3,53968	-981,996639696	-1,26171511176
46,5	-36,0219974	0,0586081	3,36264	-971,385575748	-1,27549763033
47	-35,760650861	0,0671551	3,15629	-965,281888841	-1,2835628787
47,5	-35,369432729	0,0720391	2,94994	-956,107587232	-1,29587926772
48	-34,912477124	0,029304	2,73871	-945,335292394	-1,31064608501
48,5	-34,651665036	0,019536	2,54457	-939,159896973	-1,31926416789
49	-34,390318497	0,041514	2,39683	-932,952327009	-1,32804213477
49,5	-33,86815987	0,00732601	2,23443	-920,491876898	-1,34601948273
50	-33,607347782	0,00854701	2,08425	-914,239334253	-1,35522499807
50,5	-33,346535694	0,035409	1,94994	-907,96784771	-1,36458576493
51	-32,759174045	0,0586081	1,83761	-893,775456269	-1,38625422225
51,5	-32,563030528	0,0500611	1,7033	-889,015055638	-1,39367718482
52	-31,975668879	0,0757021	1,60562	-874,697705106	-1,41648936858
52,5	-31,780059813	0,04884	1,52747	-869,909119026	-1,42428671329
53	-31,454044703	0,0683761	1,44078	-861,905638158	-1,43751235071
53,5	-30,931886076	0,0708181	1,36264	-849,028917516	-1,45931425236
54	-30,670539537	0,039072	1,30281	-842,557421096	-1,47052292102
54,5	-30,214118383	0,046398	1,24786	-831,213501646	-1,49059176439
55	-29,8223658	0,0512821	1,19292	-821,434765587	-1,50833645215
55,5	-29,626756734	0,0793651	1,16606	-816,537664848	-1,51738254503
56	-29,039395085	0,013431	1,10867	-801,776017966	-1,54531935632
56,5	-28,843786019	0,037851	1,08059	-796,84116661	-1,55488954627
57	-28,517236458	0,046398	1,05617	-788,582265643	-1,57117406006
57,5	-28,060280853	0,0695971	1,04518	-776,982269426	-1,59463098291
